* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -28.9 dBFS, measurement signal peak level -23.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Mar 25, 2022 2:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0154 ms (-5.3 mm, -0.21 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 80Hz Target Mar 25
* Smoothing: Psychoacoustic
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
274.658221, 75.976, -103.9158
275.024432, 75.982, -104.0870
275.390643, 75.989, -104.2591
275.756854, 75.996, -104.4321
276.123065, 76.002, -104.6058
276.489276, 76.009, -104.7805
276.855487, 76.015, -104.9559
277.221698, 76.021, -105.1320
277.587909, 76.027, -105.3088
277.954120, 76.033, -105.4865
278.320331, 76.038, -105.6647
278.686542, 76.044, -105.8435
279.052753, 76.049, -106.0230
279.418964, 76.054, -106.2031
279.785175, 76.059, -106.3838
280.151386, 76.064, -106.5651
280.517597, 76.069, -106.7469
280.883808, 76.073, -106.9292
281.250019, 76.078, -107.1121
281.616230, 76.082, -107.2954
281.982441, 76.086, -107.4791
282.348652, 76.090, -107.6634
282.714863, 76.094, -107.8480
283.081074, 76.098, -108.0331
283.447285, 76.101, -108.2186
283.813496, 76.104, -108.4044
284.179707, 76.108, -108.5906
284.545918, 76.111, -108.7771
284.912128, 76.113, -108.9640
285.278339, 76.116, -109.1511
285.644550, 76.119, -109.3386
286.010761, 76.121, -109.5262
286.376972, 76.123, -109.7142
286.743183, 76.125, -109.9024
287.109394, 76.127, -110.0908
287.475605, 76.129, -110.2794
287.841816, 76.131, -110.4681
288.208027, 76.132, -110.6570
288.574238, 76.133, -110.8459
288.940449, 76.134, -111.0350
289.306660, 76.135, -111.2242
289.672871, 76.136, -111.4133
290.039082, 76.136, -111.6025
290.405293, 76.137, -111.7917
290.771504, 76.137, -111.9810
291.137715, 76.137, -112.1700
291.503926, 76.136, -112.3590
291.870137, 76.136, -112.5479
292.236348, 76.135, -112.7366
292.602559, 76.134, -112.9251
292.968770, 76.133, -113.1134
293.334981, 76.132, -113.3015
293.701192, 76.131, -113.4892
294.067403, 76.129, -113.6766
294.433614, 76.127, -113.8636
294.799825, 76.125, -114.0503
295.166036, 76.122, -114.2366
295.532247, 76.120, -114.4222
295.898457, 76.117, -114.6075
296.264668, 76.114, -114.7921
296.630879, 76.111, -114.9762
296.997090, 76.107, -115.1597
297.363301, 76.103, -115.3424
297.729512, 76.099, -115.5245
298.095723, 76.095, -115.7057
298.461934, 76.091, -115.8862
298.828145, 76.086, -116.0659
299.194356, 76.081, -116.2446
299.560567, 76.076, -116.4224
299.926778, 76.070, -116.5992
300.292989, 76.065, -116.7750
300.659200, 76.059, -116.9498
301.025411, 76.052, -117.1234
301.391622, 76.046, -117.2959
301.757833, 76.039, -117.4673
302.124044, 76.032, -117.6373
302.490255, 76.025, -117.8062
302.856466, 76.017, -117.9738
303.222677, 76.010, -118.1400
303.588888, 76.002, -118.3049
303.955099, 75.993, -118.4683
304.321310, 75.985, -118.6304
304.687521, 75.976, -118.7909
305.053732, 75.967, -118.9499
305.419943, 75.958, -119.1074
305.786154, 75.949, -119.2633
306.152365, 75.939, -119.4176
306.518576, 75.929, -119.5703
306.884787, 75.919, -119.7214
307.250997, 75.908, -119.8708
307.617208, 75.898, -120.0186
307.983419, 75.887, -120.1646
308.349630, 75.876, -120.3088
308.715841, 75.865, -120.4514
309.082052, 75.853, -120.5922
309.448263, 75.841, -120.7311
309.814474, 75.829, -120.8684
310.180685, 75.817, -121.0038
310.546896, 75.805, -121.1375
310.913107, 75.793, -121.2694
311.279318, 75.780, -121.3995
311.645529, 75.767, -121.5278
312.011740, 75.754, -121.6543
312.377951, 75.741, -121.7790
312.744162, 75.728, -121.9019
313.110373, 75.714, -122.0231
313.476584, 75.701, -122.1424
313.842795, 75.687, -122.2600
314.209006, 75.673, -122.3759
314.575217, 75.659, -122.4899
314.941428, 75.645, -122.6023
315.307639, 75.631, -122.7129
315.673850, 75.616, -122.8219
316.040061, 75.602, -122.9291
