* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -17.3 dBFS, measurement signal peak level -8.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Mar 25, 2022 9:53:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0204 ms (-7.0 mm, -0.28 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 80Hz Target Mar 25
* Smoothing: Psychoacoustic
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
219.360365, 86.125, -26.7740
219.726576, 86.130, -27.0583
220.092787, 86.135, -27.3415
220.458998, 86.141, -27.6234
220.825209, 86.146, -27.9041
221.191420, 86.152, -28.1836
221.557631, 86.157, -28.4619
221.923842, 86.162, -28.7391
222.290053, 86.168, -29.0151
222.656264, 86.173, -29.2900
223.022475, 86.179, -29.5638
223.388686, 86.184, -29.8364
223.754897, 86.190, -30.1080
224.121108, 86.195, -30.3785
224.487319, 86.201, -30.6480
224.853530, 86.206, -30.9164
225.219741, 86.212, -31.1837
225.585952, 86.218, -31.4500
225.952163, 86.223, -31.7153
226.318374, 86.229, -31.9796
226.684585, 86.235, -32.2429
227.050796, 86.240, -32.5051
227.417007, 86.246, -32.7664
227.783218, 86.252, -33.0267
228.149429, 86.257, -33.2859
228.515640, 86.263, -33.5443
228.881850, 86.269, -33.8015
229.248061, 86.275, -34.0578
229.614272, 86.280, -34.3131
229.980483, 86.286, -34.5674
230.346694, 86.292, -34.8207
230.712905, 86.298, -35.0729
231.079116, 86.304, -35.3242
231.445327, 86.310, -35.5745
231.811538, 86.316, -35.8237
232.177749, 86.322, -36.0720
232.543960, 86.328, -36.3192
232.910171, 86.334, -36.5653
233.276382, 86.340, -36.8105
233.642593, 86.346, -37.0546
234.008804, 86.352, -37.2977
234.375015, 86.358, -37.5397
234.741226, 86.364, -37.7806
235.107437, 86.370, -38.0206
235.473648, 86.377, -38.2595
235.839859, 86.383, -38.4973
236.206070, 86.390, -38.7341
236.572281, 86.396, -38.9699
236.938492, 86.403, -39.2047
237.304703, 86.409, -39.4384
237.670914, 86.416, -39.6711
238.037125, 86.423, -39.9029
238.403336, 86.429, -40.1336
238.769547, 86.436, -40.3633
239.135758, 86.443, -40.5921
239.501969, 86.451, -40.8199
239.868180, 86.458, -41.0468
240.234390, 86.465, -41.2728
240.600601, 86.472, -41.4979
240.966812, 86.480, -41.7222
241.333023, 86.488, -41.9456
241.699234, 86.495, -42.1682
242.065445, 86.503, -42.3900
242.431656, 86.511, -42.6110
242.797867, 86.519, -42.8314
243.164078, 86.527, -43.0510
243.530289, 86.536, -43.2700
243.896500, 86.544, -43.4883
244.262711, 86.553, -43.7061
244.628922, 86.562, -43.9234
